Cn,Ct,ec (cm3),ep (KW),Ewltp (g/km)
FIESTA,M1,999.0,70.0,116.0
RAV4,M1,1987.0,129.0,162.0
630I,M1,1998.0,190.0,162.0
ASTRA+,M1,1341.0,107.0,130.0
TOYOTA COROLLA,M1,1798.0,72.0,104.0
ECOSPORT,M1,998.0,92.0,137.0
TWINGO,M1,,31.0,0.0
IBIZA,M1,999.0,81.0,116.0
FIAT 500X,M1,1248.0,70.0,123.0
RIO,M1,1197.0,62.0,122.0
NIRO,M1,1580.0,77.0,31.0
LODGY,M1,1461.0,70.0,128.0
IGNIS,M1,1197.0,61.0,122.0
GRANDLAND X,M1,1598.0,164.0,30.0
T-ROC,M1,999.0,81.0,144.0
CAPTUR E-TECH PLUG-IN HYBRID,M1,1598.0,68.0,33.0
TUCSON,M1,1598.0,132.0,131.0
TOYOTA C-HR,M1,1798.0,72.0,111.0
E-TRON S SPORTBACK,M1,,226.0,0.0
CORSA,M1,1199.0,74.0,118.0
POLO,M1,999.0,81.0,118.0
TIGUAN,M1,1968.0,147.0,172.0
FIESTA,M1,999.0,70.0,120.0
EQ FORFOUR,M1,,41.0,0.0
CEED,M1,1580.0,77.0,33.0
STELVIO,M1,2143.0,118.0,146.0
CAPTUR E-TECH PLUG-IN HYBRID,M1,1598.0,68.0,34.0
T-CROSS,M1,999.0,81.0,146.0
2008,M1,1199.0,96.0,127.0
ABARTH 500,M1,1368.0,121.0,158.0
SANDERO,M1,999.0,74.0,109.0
T-ROC,M1,1498.0,110.0,150.0
KUGA,M1,1496.0,111.0,151.0
GOLF,M1,999.0,81.0,119.0
NIRO,M1,,150.0,0.0
T-ROC,M1,1968.0,85.0,124.0
CAPTUR,M1,999.0,67.0,127.0
FIAT 500,M1,999.0,51.0,113.0
TOYOTA C-HR,M1,1987.0,112.0,119.0
ABARTH 500,M1,1368.0,121.0,158.0
CLASSE B,M1,1950.0,110.0,134.0
CLIO,M1,999.0,67.0,121.0
KODIAQ / 1.5 / TSI,M1,1498.0,110.0,151.0
C3,M1,1199.0,61.0,122.0
Model Y,M1,,220.0,0.0
PANDA,M1,999.0,52.0,123.0
2008,M1,1499.0,81.0,118.0
KAROQ,M1,1968.0,110.0,159.0
TUCSON IX35,M1,1598.0,110.0,148.0
EQ FORFOUR,M1,,41.0,0.0
PUMA,M1,999.0,92.0,127.0
911 TURBO S,M1,3745.0,470.0,274.0
RANGE ROVER VELAR,M1G,1999.0,132.0,182.0
CLIO,M1,999.0,67.0,113.0
C3,M1,1199.0,81.0,134.0
Kona,M1,998.0,88.0,132.0
KUGA,M1,2488.0,112.0,32.0
OCTAVIA,M1,1395.0,110.0,25.0
5008,M1,1499.0,96.0,142.0
FIAT 500L,M1,1368.0,70.0,167.0
MACAN,M1,1984.0,180.0,233.0
3008,M1,1199.0,96.0,148.0
YARIS,M1,1490.0,68.0,87.0
ARKANA E-TECH,M1,1598.0,69.0,111.0
CAPTUR E-TECH PLUG-IN HYBRID,M1,1598.0,68.0,
C5 AIRCROSS,M1,1199.0,96.0,155.0
308,M1,1499.0,96.0,121.0
NIRO,M1,1580.0,77.0,31.0
SANDERO,M1,999.0,67.0,121.0
XV,M1,1600.0,84.0,180.0
SPORTAGE,M1,1598.0,100.0,156.0
SCALA,M1,999.0,81.0,120.0
SPRING,M1,,18.0,0.0
TOYOTA YARIS,M1,1490.0,68.0,87.0
GLA 250,M1,1991.0,165.0,178.0
SCALA,M1,999.0,70.0,123.0
AYGO,M1,998.0,53.0,113.0
T-CROSS,M1,999.0,81.0,147.0
NUEVO,M1,1199.0,96.0,131.0
eVito Tourer,M1,,150.0,0.0
STONIC,M1,998.0,74.0,121.0
A3 40 TFSIE,M1,1395.0,110.0,25.0
X2,M1,1995.0,140.0,148.0
3008,M1,1199.0,96.0,144.0
TOYOTA COROLLA,M1,1798.0,72.0,112.0
COROLLA,M1,1798.0,72.0,97.0
C4,M1,1199.0,96.0,131.0
NIRO,M1,1580.0,77.0,110.0
FOCUS,M1,999.0,92.0,124.0
CROSSLAND,M1,1499.0,81.0,120.0
MAZDA CX-3,M1,1998.0,89.0,160.0
TIGUAN,M1,1968.0,110.0,146.0
500X,M1,1598.0,96.0,140.0
A 250 E,M1,1332.0,118.0,22.0
XC40,M1,,150.0,0.0
LAND,M1G,2755.0,150.0,247.0
C5,M1,1499.0,96.0,138.0
E 300 de,M1,1950.0,143.0,33.0
URUS,M1G,3996.0,478.0,325.0
MG ZS EV,M1,,68.0,0.0
FIAT TIPO,M1,1368.0,88.0,166.0
500,M1,999.0,51.0,114.0
CLIO / 1.0 /,M1,999.0,67.0,119.0
DOKKER,M1,1332.0,96.0,155.0
MONDEO,M1,1999.0,103.0,131.0
QASHQAI,M1,1332.0,103.0,145.0
SWACE,M1,1798.0,72.0,103.0
2008,M1,1199.0,96.0,127.0
GOLF,M1,999.0,81.0,122.0
KAMIQ,M1,999.0,66.0,101.0
FIAT 500,M1,1242.0,51.0,137.0
RAV4,M1,2487.0,131.0,129.0
SPRING,M1,,18.0,0.0
CEED,M1,998.0,73.0,132.0
308,M1,1499.0,96.0,121.0
E 300 DE,M1,1950.0,143.0,36.0
FIAT 500X,M1,1248.0,70.0,124.0
GOLF,M1,1498.0,96.0,111.0
FIAT TIPO,M1,1598.0,96.0,119.0
KONA,M1,1580.0,77.0,112.0
KUGA,M1,1499.0,88.0,127.0
E 200,M1,1991.0,145.0,173.0
520D,M1,1995.0,140.0,135.0
ARONA,M1,999.0,81.0,121.0
Hyundai Bayon,M1,998.0,,119.0
CEED,M1,1482.0,117.0,136.0
PROACE CITY VERSO,M1,1199.0,96.0,149.0
COMPASS,M1G,1332.0,96.0,163.0
T-ROC,M1,1498.0,110.0,154.0
TWINGO,M1,,31.0,0.0
SUPERB,M1,1498.0,110.0,158.0
ENYAQ 80,M1,,150.0,0.0
RENEGADE,M1,1598.0,96.0,134.0
500,M1,999.0,51.0,113.0
FABIA,M1,999.0,70.0,120.0
GLC 300 E 4MATIC,M1,1991.0,155.0,54.0
QASHQAI,M1,1332.0,116.0,145.0
FIESTA,M1,999.0,91.0,117.0
OCTAVIA,M1,1968.0,110.0,118.0
CADDY,M1,1968.0,90.0,141.0
C3,M1,1199.0,61.0,123.0
FABIA,M1,999.0,70.0,121.0
Q3 Sportback e-tron,M1,1395.0,110.0,44.0
T-ROC,M1,1498.0,110.0,144.0
COMPASS,M1G,1332.0,96.0,168.0
TOYOTA YARIS,M1,1490.0,68.0,87.0
TUCSON,M1,1598.0,110.0,151.0
A4 AVANT,M1,2967.0,210.0,189.0
T-ROC,M1,999.0,81.0,138.0
ARKANA,M1,1332.0,103.0,132.0
DUSTER,M1,1461.0,85.0,128.0
500,M1,,43.0,0.0
A6 AVANT,M1,2995.0,250.0,198.0
CAPTUR,M1,999.0,67.0,119.0
i 30,M1,1482.0,118.0,139.0
MODEL Y,M1,,378.0,0.0
718 BOXSTER GTS,M1,3995.0,294.0,247.0
T-CROSS,M1,999.0,70.0,133.0
TOURAN,M1,1968.0,85.0,154.0
FIAT 500,M1,999.0,51.0,113.0
OCTAVIA,M1,1498.0,96.0,108.0
DUSTER,M1,1461.0,84.0,145.0
X1 SDRIVE18I,M1,1499.0,100.0,141.0
CR-V,M1,1993.0,107.0,151.0
VITARA,M1,1373.0,95.0,129.0
FABIA,M1,999.0,70.0,129.0
KAMIQ,M1,1498.0,110.0,137.0
T-CROSS,M1,999.0,70.0,133.0
SANDERO,M1,999.0,49.0,121.0
NISSAN LEAF 40KWH,M1,,90.0,0.0
X4 XDRIVE20D,M1G,1995.0,140.0,159.0
FABIA,M1,999.0,70.0,121.0
C3,M1,1199.0,81.0,133.0
UP!,M1,,61.0,0.0
T-ROC,M1,1498.0,110.0,153.0
i 30,M1,1498.0,80.0,138.0
